,date,symbol,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,ClosingStockPrice
94,2018-12-31,WMB,229185600.0,0.0,229185600.0,1353286400.0,177346000.0,237370800.0,1997188800.0,37520956800.0,0.0,10595741400.0,10595741400.0,10669408200.0,2079040800.0000002,-1061347600.0000001,59803799600.0,0.0,61800988400.0,903100400.0,64117400.0,0.0,332864800.0,1170483600.0,2470566200.0,30513061400.0,0.0,2079040800.0000002,4915212600.0,37507314800.0,0.0,0.0,39977881000.0,47747000.0,1698429000.0,-13644728400.0,-368334000.0,32266058400.0,19999172000.0,21823107400.0,61800988400.0,1823935400.0,61800988400.0,10669408200.0,30577178800.0,30347993200.0,22.04878674621582
95,2022-12-30,LNG,1832503200.0,0.0,1832503200.0,2632953600.0,1118734400.0,131376800.0,7595475200.0,46256823200.0,104288800.0,0.0,104288800.0,21670400.0,1170201600.0,742211200.0,48295195200.0,0.0,55890670400.0,167945600.0,1935437600.0,0.0,316929600.0,6782835200.0,9203148000.0,35918688000.0,0.0,0.0,11000436800.0,46919124800.0,0.0,4172906400.0,56122272800.0,0.0,1354400.0,-6693444800.0,0.0,2670876800.0,-4021213600.0,-231602400.0,55890670400.0,3789611200.0,55890670400.0,21670400.0,37854125600.0,36021622400.0,201.0169662109375
96,2021-12-31,LNG,1779991200.0,0.0,1779991200.0,1909306800.0,895066800.0,262434600.0,6409996800.0,41064042000.0,97620600.0,0.0,97620600.0,70996800.0,1526431200.0,602205000.0,43361295600.0,0.0,49771292400.0,196509000.0,1142287800.0,0.0,196509000.0,4414479600.0,5949785400.0,39361386600.0,0.0,0.0,4501957800.0,43863344400.0,0.0,2704217400.0,49813129800.0,0.0,1267800.0,-7633423800.0,0.0,4372642200.0,-3259513800.0,-41837400.0,49771292400.0,3217676400.0,49771292400.0,70996800.0,40503674400.0,38723683200.0,126.03288284454347
97,2020-12-31,LNG,2072769600.0000002,0.0,2072769600.0000002,823760400.0000001,371774400.00000006,154057200.0,4034770800.0000005,39698376000.0,98036400.00000001,0.0,98036400.00000001,103129200.00000001,622594800.0,892513200.0000001,41414649600.0,0.0,45449420400.00001,44562000.00000001,678615600.0,0.0,175701600.00000003,1897068000.0000002,2795947200.0000005,39628350000.0,0.0,0.0,201165600.00000003,39829515600.0,0.0,1037658000.0000001,42625462800.0,0.0,1273200.0,-4574607600.0,0.0,4330153200.0,-243181200.00000003,2823957600.0000005,45449420400.00001,3067138800.0000005,45449420400.00001,103129200.00000001,40306965600.0,38234196000.0,74.68129777679444
98,2019-12-31,LNG,3213231200.0,0.0,3213231200.0,637710800.0,405225600.0,119489600.0,5470545600.0,39109465600.0,100007600.0,0.0,100007600.0,140270400.0,687065200.0,589655200.0,40626464000.0,0.0,46097009600.0,85720800.0,306516800.0,0.0,209106800.0,1832606800.0,2433951200.0,40290074800.0,0.0,0.0,210405600.0,40500480400.0,0.0,627320400.0,42934431600.0,0.0,1298800.0,-4556190400.0,0.0,4536708400.0,-18183200.0,3162578000.0,46097009600.0,3180761200.0,46097009600.0,140270400.0,40596591600.0,37383360400.0,77.50274783782959
99,2018-12-31,LNG,1338280200.0,0.0,1338280200.0,798057000.0,431087200.0,155518800.0,5776022800.0,37167629000.0,105043400.0,0.0,105043400.0,128234800.0,43654400.0,416081000.0,37860642600.0,0.0,43636665400.0,79123600.0,326043800.0,0.0,189623800.0,1781645200.0,2376436400.0,38519551200.0,0.0,0.0,109136000.0,38628687200.0,0.0,77759400.0,41005123600.0,0.0,1364200.0,-5669615200.0,-1924886200.0,6875568000.0,-717569200.0,2631541800.0,43636665400.0,3349111000.0,43636665400.0,128234800.0,38845595000.0,37507314800.0,78.89931757659913
100,2022-12-30,MPLX,322347200.0,0.0,322347200.0,1978778400.0,200451200.0,71783200.0,2580132000.0,26219829600.0,10354388000.0,954852000.0,11309240000.0,5546268000.0,17607200.0,2631599200.0,45724544000.0,0.0,48304676000.0,303385600.0,1401804000.0,0.0,108352000.0,1438372800.0,3251914400.0,26093870400.0,445597600.0,17607200.0,192324800.0,26749400000.0,1311059200.0,683972000.0,31312373600.0,0.0,0.0,0.0,-10835200.0,17003137600.0,16992302400.0,17313295200.0,48304676000.0,320992800.0,48304676000.0,5546268000.0,27495674400.0,27173327200.0,40.612834400939946
101,2021-12-31,MPLX,16481400.0,0.0,16481400.0,1640533200.0,180027600.0,68461200.0,1910574600.0,26039344200.0,9707544600.0,1053541800.0,10761086400.0,5047111800.0,1122003000.0,135654600.0,43105200000.0,0.0,45015774600.0,218061600.0,708700200.0,0.0,97620600.0,3220212000.0,4244594400.0,23460639000.0,579384600.0,12678000.0,215526000.0,24268227600.0,1223427000.0,625025400.0,29736249000.0,0.0,0.0,0.0,-21552600.0,15301078200.0,15279525600.0,15585065400.0,45015774600.0,305539800.0,45015774600.0,5047111800.0,24169339200.0,24152857800.0,31.394660180282592
102,2020-12-31,MPLX,19098000.0,0.0,19098000.0,1432350000.0000002,150237600.0,82758000.0,1928898000.0000002,27702285600.000004,9748892400.0,1220998800.0,10969891200.0,5138635200.0,532197600.00000006,90397200.00000001,44433406800.00001,0.0,46362304800.00001,193526400.00000003,1054209600.0000001,0.0,123500400.00000001,1284658800.0,2655895200.0,25270473600.000004,468537600.00000006,15278400.000000002,1378875600.0,27133165200.000004,0.0,683708400.0,29789060400.000004,0.0,0.0,0.0,-19098000.0,16592342400.000002,16573244400.000002,16885178400.000002,46362304800.00001,311934000.0,46362304800.00001,5138635200.0,26324683200.000004,26305585200.000004,20.48275507736206
103,2019-12-31,MPLX,19482000.0,0.0,19482000.0,1610512000.0,142868000.0,142868000.0,1927419200.0,29537309600.0,12385356800.0,1649476000.0,14034832800.0,6851170000.0,83123200.0,76629200.0,50583064800.0,0.0,52510484000.0,314309600.0,87019600.0,0.0,76629200.0,2291083200.0,2769041600.0,26282516800.0,359767600.0,15585600.0,1506608000.0,28164478000.0,0.0,777981200.0,30933519600.0,0.0,0.0,0.0,-19482000.0,21596446400.0,21576964400.0,21900365600.0,52510484000.0,323401200.0,52510484000.0,6851170000.0,26369536400.0,26350054400.0,21.27336191329956
